n,CW,LK,2opt,3opt,hybrid_rc,hybrid_mc,borne_inf
6,4300,4300,3503,3503,3348,3348,1626.65
7,4544,3208,3306,3208,3127,3127,1300.2
8,5350,5350,4369,4369,3820,3820,2689.5
9,5985,5359,5269,5269,4216,4216,3233.0
10,8382,7633,6145,6145,5510,5510,3068.25
11,10059,9215,9215,9047,7798,7798,2618.7006172839506
12,10015,8180,7620,7179,6776,6776,2899.631111111111
13,10355,8547,8592,8361,6891,6891,3261.9703125
14,12058,10278,9639,9580,8512,8512,4025.903420348723
15,12418,9649,8858,8465,6280,6280,3720.9502164502164
16,12673,12673,11760,11760,9721,9715,4624.068376068374
17,13590,8642,8779,8429,7202,7157,2897.864197530864
18,15686,13934,12964,12964,11168,11168,4071.418333333333
19,16163,12168,10355,10145,7013,7013,3474.3499999999995
20,18630,13919,12713,12385,9874,9874,4516.83982989882
25,20234,12379,12721,12301,9819,9819,4480.976388888889
30,27080,19728,20305,18947,15998,15998,5570.021418257034
35,31510,20996,19804,19423,16555,15510,4230.328787878788
40,31514,12800,14111,12891,10979,10934,5360.861825889775
45,35136,20783,20677,19473,16407,15809,5341.692007797273
50,38459,13988,15440,13979,11559,10796,5037.617553191488
55,43567,16468,16951,16306,12334,12958,5807.27329059829
60,49421,27548,26191,25185,17627,16521,5546.419512586181
65,48364,30439,29686,28971,20197,20334,6132.483798701302
70,55554,14551,15712,14558,11776,11984,7118.427525252526
75,59564,21395,22333,21178,16324,17292,6657.9625
80,65182,21311,22971,21286,17290,16297,7846.065379886894
85,68991,16838,17503,16965,13300,13375,8692.247716059052
90,79423,61104,53822,52761,38210,38118,8253.042333333337
95,82649,59055,48921,48661,31209,32434,7107.704200000021
100,78783,15438,17028,15857,12117,11787,6625.7604056437385
