n,CW,LK,2opt,3opt,hybrid_rc,hybrid_mc
6,5.575e-5,1.5292e-5,1.3791e-5,1.0625e-5,1.7167e-5,3.05e-5
7,0.000551375,0.000518959,8.625e-6,1.1083e-5,4.0333e-5,4.5583e-5
8,1.8583e-5,6.375e-6,3.666e-6,6.083e-6,2.7459e-5,4.1125e-5
9,5.0917e-5,1.4541e-5,5.75e-6,8.459e-6,7.7958e-5,9.9917e-5
10,1.4417e-5,8.75e-6,5.75e-6,8.792e-6,0.000168791,0.000156417
11,1.25e-5,8.292e-6,9.916e-6,1.2459e-5,9.6625e-5,0.000137334
12,1.3834e-5,1.7833e-5,9.041e-6,1.7375e-5,0.001092375,0.001090958
13,1.9792e-5,2.0959e-5,1.0083e-5,2.0917e-5,0.000426834,0.000506541
14,2.0667e-5,3.2958e-5,1.2125e-5,2.4625e-5,0.001159791,0.001376167
15,0.00059175,3.5667e-5,1.4166e-5,2.625e-5,0.002146292,0.002765167
16,1.9208e-5,1.5917e-5,1.2625e-5,1.4208e-5,0.000392292,0.0005645
17,2.05e-5,3.3e-5,1.3834e-5,3.1541e-5,0.001680708,0.001825917
18,3.65e-5,2.2459e-5,1.5958e-5,2.0583e-5,0.000392958,0.000534375
19,2.3208e-5,0.000897416,2.075e-5,8.0459e-5,0.005137875,0.005387833
20,2.8291e-5,3.3959e-5,2.0458e-5,3.8083e-5,0.001242125,0.00134725
25,0.000658625,0.000517584,0.000627583,7.9375e-5,0.034176833,0.039062917
30,7.2875e-5,6.9417e-5,6.7083e-5,6.9792e-5,0.004119041,0.00468225
35,8.4042e-5,0.000127625,7.1084e-5,0.0001085,0.0311465,0.064975166
40,0.000102542,0.075173125,0.000100083,0.000497583,0.821781,0.833129
45,0.000152875,0.001429584,0.000130208,0.000232333,0.100163292,0.099366917
50,0.000242208,0.032976792,0.000177416,0.000467917,0.222355083,0.244359
55,0.000200292,0.117287,0.00017475,0.000584333,0.579038041,0.596909083
60,0.000240125,0.000663291,0.000217417,0.000318958,0.182066,0.236157917
65,0.000299875,0.001319333,0.00026425,0.000371209,0.1013645,0.125500916
70,0.000304,14.89044825,0.000435625,0.003259459,12.670822,12.311029125
75,0.000775542,0.040092333,0.000467458,0.029507584,1.417202584,1.429319791
80,0.000390667,0.286522166,0.000420334,0.001237334,3.685538459,4.106766791
85,0.000829417,72.645268,0.000600833,0.007128333,83.508589917,84.81008475
90,0.000955291,0.001688583,0.000887792,0.0009865,0.209062666,0.359615
95,0.001003292,0.001319875,0.000931125,0.001051292,0.144690917,1.391144
100,0.000606417,13.846268375,0.000785208,0.0071855,58.641131042,76.410281208
