file 	 comput time 	 limit time 	 val 	 gap
data/instance_n5.txt	0.016000032424926758	600	2786.0	0.0
data/n_10-euclidean_false	0.10599994659423828	600	2684.0	0.0
data/n_10-euclidean_true	0.1419999599456787	600	5423.0	0.0
data/n_100-euclidean_false	600.3600001335144	600	4323.0	453.5211267605634
data/n_100-euclidean_true	600.3899998664856	600	13752.0	71.25778331257784
data/n_11-euclidean_false	0.315000057220459	600	3899.0	0.0
data/n_11-euclidean_true	0.9070000648498535	600	7142.0	0.0
data/n_12-euclidean_false	0.28999996185302734	600	3389.0	0.0
data/n_12-euclidean_true	37.81599998474121	600	6364.0	0.0
data/n_13-euclidean_false	0.6610000133514404	600	2682.0	0.0
data/n_13-euclidean_true	3.2689998149871826	600	5971.0	0.0
data/n_14-euclidean_false	7.855999946594238	600	5090.0	0.0
data/n_14-euclidean_true	585.569000005722	600	7669.0	0.0
data/n_15-euclidean_false	0.2999999523162842	600	2126.0	0.0
data/n_15-euclidean_true	61.63800001144409	600	6140.0	0.0
data/n_16-euclidean_false	118.04699993133545	600	849.0	0.0
data/n_16-euclidean_true	21.039999961853027	600	9144.0	0.0
data/n_17-euclidean_false	0.3429999351501465	600	619.0	0.0
data/n_17-euclidean_true	600.0269999504089	600	6698.0	54.26070935052971
data/n_18-euclidean_false	603.9630000591278	600	1300.0	46.3963963963964
data/n_18-euclidean_true	600.662999868393	600	10154.0	2.7524792552114956
data/n_19-euclidean_false	600.1749999523163	600	1182.0	6.775067750677506
data/n_19-euclidean_true	600.1219999790192	600	6987.0	15.278006929549578
data/n_20-euclidean_false	294.40300011634827	600	668.0	0.0
data/n_20-euclidean_true	652.6110000610352	600	9098.0	37.994843015319276
data/n_25-euclidean_false	601.7009999752045	600	2113.0	90.53201082055907
data/n_25-euclidean_true	269.37800002098083	600	9427.0	70.13174517235156
data/n_30-euclidean_false	639.1970000267029	600	1912.0	95.50102249488752
data/n_30-euclidean_true	600.4920001029968	600	14893.0	103.65103240804048
data/n_35-euclidean_false	622.8369998931885	600	2073.0	120.53191489361703
data/n_35-euclidean_true	600.4119999408722	600	14712.0	147.92719919110212
data/n_40-euclidean_false	600.3550000190735	600	3115.0	240.43715846994536
data/n_40-euclidean_true	600.3020000457764	600	10440.0	59.92647058823529
data/n_45-euclidean_false	601.0069999694824	600	1350.0	60.33254156769596
data/n_45-euclidean_true	600.1699998378754	600	15176.0	130.49817739975697
data/n_5-euclidean_false	0.032000064849853516	600	1767.0	0.0
data/n_5-euclidean_true	0.032000064849853516	600	3283.0	0.0
data/n_50-euclidean_false	606.9460000991821	600	1185.0	102.2184300341297
data/n_50-euclidean_true	600.4349999427795	600	10114.0	59.677928639090624
data/n_55-euclidean_false	600.9790000915527	600	2456.0	79.66349670811998
data/n_55-euclidean_true	600.9189999103546	600	12641.0	82.54151624548737
data/n_6-euclidean_false	0.18700003623962402	600	3307.0	0.0
data/n_6-euclidean_true	0.20399999618530273	600	3087.0	0.0
data/n_60-euclidean_false	601.454999923706	600	2167.0	179.25257731958763
data/n_60-euclidean_true	600.2889997959137	600	16076.0	142.87656745731985
data/n_65-euclidean_false	600.2580001354218	600	2389.0	119.77920883164674
data/n_65-euclidean_true	605.9370000362396	600	19445.0	155.0498426023085
data/n_7-euclidean_false	0.3580000400543213	600	2066.0	0.0
data/n_7-euclidean_true	1.2649998664855957	600	3132.0	0.0
data/n_70-euclidean_false	601.2749998569489	600	3659.0	408.19444444444446
data/n_70-euclidean_true	621.4089999198914	600	14138.0	67.41267021906452
data/n_75-euclidean_false	600.7769999504089	600	2645.0	142.21611721611723
data/n_75-euclidean_true	601.8989999294281	600	16788.0	119.07868980816912
data/n_8-euclidean_false	0.37599992752075195	600	3270.0	0.0
data/n_8-euclidean_true	0.5	600	3776.0	0.0
data/n_80-euclidean_false	606.7999999523163	600	806.0	71.48936170212767
data/n_80-euclidean_true	602.2070000171661	600	17585.0	90.8301682040152
data/n_85-euclidean_false	602.1270000934601	600	3806.0	624.952380952381
data/n_85-euclidean_true	604.1289999485016	600	16650.0	69.27612850752338
data/n_9-euclidean_false	0.7350001335144043	600	3113.0	0.0
data/n_9-euclidean_true	0.375	600	4181.0	0.0
data/n_90-euclidean_false	600.8959999084473	600	4200.0	415.3374233128834
data/n_90-euclidean_true	611.2780001163483	600	38545.0	296.5534979423868
data/n_95-euclidean_false	600.3519999980927	600	4580.0	497.13168187744463
data/n_95-euclidean_true	600.989000082016	600	31118.0	257.43165632896853
