n,euclidien,dual,B&C,plans coupants, B&C with heuristic, plans_coupants with heuristic
5,true,0.0,0.0,0.0,0.0,0.0
5,false,0.0,0.0,0.0,0.0,0.0
6,true,0.0,0.0,0.0,0.0,0.0
6,false,0.0,0.0,0.0,0.0,0.0
7,true,0.0,0.0,0.0,0.0,0.0
7,false,0.0,0.0,0.0,0.0,0.0
8,true,0.0,0.0,0.0,0.0,0.0
8,false,0.0,0.0,0.0,0.0,0.0
9,true,0.0,0.0,0.0,0.0,0.0
9,false,0.0,0.0,0.0,0.0,0.0
10,true,0.0,0.0,0.0,0.0,0.0
10,false,0.0,0.0,0.0,0.0,0.0
11,true,0.08077284315040922,0.08077284315040922,0.08077284315040922,0.08077284315040922,0.08077284315040922
11,false,0.0,0.0,0.0,0.0,0.0
12,true,0.32456822778901506,0.32456822778901506,0.32456822778901506,0.32456822778901506,0.32456822778901506
12,false,0.0,0.0,0.0,0.0,0.0
13,true,0.18294496777392166,0.18294496777392166,0.18294496777392166,0.18294496777392166,0.18294496777392166
13,false,0.0,0.0,0.0,0.0,0.0
14,true,0.3711835780174094,0.3711835780174094,0.3711835780174094,0.3711835780174094,0.3711835780174094
14,false,0.25668546479898124,0.25668546479898124,0.25668546479898124,0.25668546479898124,0.25668546479898124
15,true,0.18338762214983717,0.18338762214983717,0.18338762214983717,0.18338762214983717,0.18338762214983717
15,false,0.0,0.0,0.0,0.0,0.0
16,true,0.11953193350831148,0.11953193350831148,0.11953193350831148,0.11953193350831148,0.11953193350831148
