n,euclidien,plans coupants,B&C,B&C with heuristic,dual,dual with warm start
5,true,0.0,0.0,0.0,0.0,0.0
5,false,0.0,0.0,0.0,0.0,0.0
6,true,0.0,-0.0003239390994493885,-0.0003239390994493885,0.0,0.0
6,false,0.0,0.0,0.0,0.0,0.0
7,true,0.0,0.0,0.0,0.0,0.0
7,false,0.0,0.0,0.0,0.0,0.0
8,true,0.0,0.0,0.0,0.0,0.0
8,false,0.0,0.0,0.0,0.0,0.0
9,true,0.0,0.0,0.0,0.0,0.0
9,false,0.0,-0.00032123353678126243,-0.00032123353678126243,0.0,0.0
10,true,0.0,0.0,0.0,0.0,0.0
10,false,0.0,-0.00037257824143077656,-0.00037257824143077656,0.0,0.0
11,true,0.0,0.0,0.0,0.0,0.0
11,false,0.0,0.0,0.0,0.0,0.0
12,true,0.21033672670321069,0.0,0.0,0.0,0.0
12,false,0.0,0.0,0.0,0.0,0.0
13,true,0.14033983637507863,0.0,0.0,0.0,0.0
13,false,0.0,0.0,0.0,0.0,0.0
14,true,0.4565415096790958,0.273613096011433,0.273613096011433,0.1131829443212935,0.11109662276698395
14,false,0.0,0.0,0.0,0.0,0.0
15,true,0.06046511627906981,0.0,0.0,0.0,0.0
15,false,0.0,0.0,0.0,0.0,0.0
16,true,0.05980210938349462,0.0,0.0,0.0,0.0
16,false,0.6354166666666667,0.4557670772676372,0.4557670772676372,0.0,0.0
17,true,0.3876638855780691,0.43886145803078713,0.43886145803078713,0.31182955899880815,0.24320692744102712
17,false,0.31034482758620685,0.0,0.0,0.0,0.0
18,true,0.24007009345794394,0.23775949862906387,0.23775949862906387,0.04697656096119751,0.07730943470553475
18,false,0.6289437585733881,0.6049107142857143,0.6049107142857143,0.30846153846153845,0.3157088122605364
19,true,0.16788321167883213,0.26622366746783543,0.2660822847448042,0.1527121797624159,0.12881064834693
19,false,0.7677376171352075,0.5723781388478582,0.5723781388478582,0.04906937394247035,0.05160744500846026
20,true,0.40975820379965455,0.4153961777968649,0.4148593515138501,0.2917296480241849,0.29654869202022427
20,false,0.5439093484419264,0.46820027063599456,0.46820027063599456,0.0,0.0
25,true,0.45611827618748035,0.48543886352105525,0.48543886352105525,0.3858660998937301,0.36629333333333336
25,false,0.8786206896551724,0.7377699427060379,0.7377699427060379,0.4621284755512943,0.4531621493105088
30,true,0.6136240152132573,0.603664355238883,0.6030917997328074,0.5097139773340529,0.5046210720887245
30,false,0.8931989924433249,0.7830812854442344,0.7830812854442344,0.4668820678513732,0.48711204629142557
35,true,0.622355262262739,0.6511416709911779,0.6510119356512714,0.5897558640497846,0.5943849533223504
35,false,0.9039095619406501,0.7826284674852205,0.7826284674852205,0.5179282868525896,0.5150905432595574
40,true,0.4627862595419847,0.498122226015705,0.498122226015705,0.38212981174487215,0.38156293869911095
40,false,0.9257575757575758,0.875560538116592,0.8747197309417041,0.7035635446231473,0.69327325394271
45,true,0.6468898896938842,0.6468793993430315,0.6468793993430315,0.5651719178977643,0.5617279873175243
45,false,0.9010297482837528,0.7149532710280374,0.7149532710280374,0.37888647866955893,0.39
50,true,0.4798252138341391,0.4944009429990739,0.4944009429990739,0.3603532096438139,0.4005037783375315
50,false,0.8842465753424658,0.7032201914708442,0.7032201914708442,0.353596757852077,0.31437768240343344
55,true,0.5155075939248601,0.5178173719376392,0.5178173719376392,0.4433311958961206,0.46334310850439886
55,false,0.9429897248922771,0.7853944195659662,0.791009728279101,0.401840490797546,0.37562301767104667
60,true,0.6187749003984064,0.6399567173529244,0.6399567173529244,0.5912708129285015,0.5946665054121062
60,false,0.9285083848190644,0.8288020390824129,0.8288020390824129,0.6047411707789065,0.621091927204853
65,true,0.6252864985874953,0.6440246647743957,0.642996965841245,0.5762519582950678,0.5902283590015932
65,false,0.9398601398601398,0.7791765906771011,0.7791765906771011,0.46663815226689476,0.4144434222631095
70,true,0.4844939039358481,0.5286400216406303,0.5286400216406303,0.30561212022481066,0.2789793849273403
70,false,0.935813953488372,0.9090406414155378,0.9090406414155378,0.7207880434782609,0.7266284171447857
75,true,0.567435913049407,0.5837795186834245,0.5837795186834245,0.5375254765615634,0.550897510133179
75,false,0.9548706659328563,0.8282615245555891,0.8282615245555891,0.9129711751662971,0.6928794992175273
80,true,0.5820007214139714,0.5697365508080585,0.5697365508080585,0.43883773765395195,0.4280542431122293
80,false,0.8111239860950173,0.7892107892107892,0.7892107892107892,0.9618615209988649,0.6876712328767123
85,true,0.4968418130075658,0.5503481066394973,0.5503481066394973,0.9083654839457762,0.3314426449735055
85,false,0.9479932165065008,0.9456177402323126,0.9456177402323126,0.8382624768946396,0.8346486283352124
90,true,0.7911716106696043,0.7929030129197655,0.7929030129197655,0.7436344248224922,0.7425625688651031
90,false,0.9624413145539906,0.9114059490691204,0.9114059490691204,0.9490174138051612,0.7708267840301792
95,true,0.73082305898034,0.7469979935175182,0.7469979935175182,0.7073203223872644,0.7100948241801659
95,false,0.9634558512885509,0.9445517774343122,0.9445517774343122,0.8250213128729753,0.7613636363636364
100,true,0.43408431853669416,0.49361277445109786,0.49361277445109786,0.35767820124382077,0.31036538625330035
100,false,0.9617203332582751,0.9334806629834254,0.9334806629834254,0.9467058646163123,0.7860169491525424
