n,euclidien,plans coupants,B&C,B&C with heuristic,dual,dual with warm start
5,true,0.09442583003350591,0.0,0.0,0.0,0.0
5,false,0.0,0.0,0.0,0.0,0.0
6,true,0.0,-0.0003239390994493885,-0.0003239390994493885,0.0,0.0
6,false,0.0,0.0,0.0,0.0,0.0
7,true,0.0,0.0,0.0,0.0,0.0
7,false,0.0,0.0,0.0,0.0,0.0
8,true,0.0,0.0,0.0,0.0,0.0
8,false,0.0,0.0,0.0,0.0,0.0
9,true,0.032938388625592396,0.0,0.0,0.0,0.0
9,false,0.0,-0.00032123353678126243,-0.00032123353678126243,0.0,0.0
10,true,0.01400764053119885,0.0,0.0,0.0,0.0
10,false,0.0,-0.00037257824143077656,-0.00037257824143077656,0.0,0.0
11,true,0.14935790061418197,0.17018009214016472,0.14854111405835546,0.0,0.0
11,false,0.0,0.0,0.0,0.0,0.0
12,true,0.3583320367200872,0.37347513293712853,0.3697216140131373,0.3048397234443746,0.28409805153991197
12,false,0.0,0.0,0.0,0.0,0.0
13,true,0.1815441299614805,0.18321889130798863,0.1937698877909898,0.0,0.0
13,false,0.04487179487179482,0.0,0.0,0.0,0.0
14,true,0.4043133688450046,0.43003767701701967,0.42990775626867606,0.3554774000260519,0.357578114870997
14,false,0.35526315789473684,0.40545808966861596,0.4036859826333511,0.25589970501474923,0.21167048054919912
15,true,0.20879478827361564,0.2533614126032723,0.2533614126032723,0.19560260586319222,0.19478827361563522
15,false,0.0,0.0,0.0,0.0,0.0
16,true,0.25710848643919515,0.3601622544833476,0.3601622544833476,0.08934820647419073,0.09547244094488194
16,false,0.7492507492507492,0.6640079760717846,0.6630109670987039,0.27617951668584584,0.26327944572748263
17,true,0.4807806912991657,0.5123438861458031,0.5114725530060993,0.45863656616664195,0.4688617401668653
17,false,0.4667721518987342,0.38167938931297707,0.37709923664122136,0.0,0.0
18,true,0.5766466476321749,0.590699904122723,0.590699904122723,0.3322828441993303,0.3150873062585835
18,false,0.7857142857142857,0.7711340206185567,0.7663230240549828,0.5771297006907137,0.6153846153846154
19,true,0.39151208544125915,0.4359208127116436,0.4359208127116436,0.35762155996007416,0.35007871761843423
19,false,0.838368580060423,0.7071783937455579,0.7063435495367071,0.370253164556962,0.3594507269789984
20,true,0.5623449131513647,0.540041067761807,0.540041067761807,0.43536324786324787,0.4404458598726114
20,false,0.7099567099567099,0.6178343949044586,0.6178343949044586,0.3420689655172414,0.3061516452074392
25,true,0.5498055638647921,0.5353365622220025,0.5353365622220025,0.49112601064878725,0.46133641521328006
25,false,0.9067333939945404,0.7949152542372881,0.7949152542372881,0.6350924672981506,0.6262814538676608
30,true,0.6804756672914108,0.6694132334581773,0.669538077403246,0.580384691131097,0.5753106105906585
30,false,0.9236533957845433,0.8513689700130378,0.8513689700130378,0.6650508967523024,0.646524064171123
35,true,0.6985347742491547,0.7025412001509623,0.7025412001509623,0.6628686327077749,0.6670666666666667
35,false,0.9366515837104072,0.8623680241327301,0.8623680241327301,0.7067736185383244,0.6713780918727915
40,true,0.5427872860635696,0.5457729271868382,0.5456100342075256,0.4689684569479966,0.42055203282357334
40,false,0.9581113801452784,0.9113060428849903,0.9149659863945578,0.8243347972100232,0.7919483712354025
45,true,0.6953249296291764,0.689845288326301,0.689620253164557,0.6270472061657033,0.591197462331483
45,false,0.9106145251396648,0.853150406504065,0.8482142857142857,0.6753393665158371,0.6208251473477406
50,true,0.52656264093082,0.5586092190717566,0.5528274988119752,0.4800590841949779,0.4152667256115532
50,false,0.8989260897030954,0.8458972648432288,0.8445630420280187,0.6794966691339748,0.5974382433668801
55,true,0.5652040738188222,0.5655778714888142,0.5615752984061182,0.5064915684226234,0.4487821154487821
55,false,0.9479331019248974,0.9495548961424333,0.9495548961424333,0.6830932524639879,0.6589805825242718
60,true,0.690605017215937,0.7454200326667549,0.7446695801880545,0.6485651710001685,0.6138595400870106
60,false,0.9350485027414593,0.9108595684471171,0.9108595684471171,0.785983421250942,0.6978789446456286
65,true,0.7366248137901681,0.6999716954429663,0.6999716954429663,0.6537532702757094,0.6218864619258773
65,false,0.9514991181657848,0.8990086741016109,0.8990086741016109,0.7204778156996587,0.6296779808529156
70,true,0.6225640397107488,0.6655129522470391,0.6655129522470391,0.5108564151544095,0.3472566977659848
70,false,0.9540142276422764,0.9430467238042577,0.9430467238042577,0.8610594795539034,0.8147692307692308
75,true,0.6493209217152449,0.6508305144645832,0.6508305144645832,0.5810718358038769,0.5212752114508783
75,false,0.958126144988223,0.9424512400674211,0.9424512400674211,0.9129711751662971,0.691430817610063
80,true,0.6354687752138131,0.6944031698860822,0.6944031698860822,0.575569150536556,0.5082408974117942
80,false,0.841897233201581,0.8641479099678456,0.8633440514469454,0.7065767284991569,0.6051703877790835
85,true,0.5990385165684198,0.9259587207218603,0.6670927425081665,0.9083654839457762,0.3412896870500871
85,false,0.9531207413464159,0.9794268046141039,0.9794268046141039,0.9593833656420198,0.8491600959890299
90,true,0.8272733959349793,0.8156767423950713,0.8156767423950713,0.9178363097015668,0.7701283872225472
90,false,0.9677546983184966,0.9614266330684241,0.9614266330684241,0.9490174138051612,0.7868421052631579
95,true,0.7799963194700037,NaN,NaN,0.7581308748010451,0.7237055714828503
95,false,0.9680106000378573,NaN,0.9831568816169394,0.9573302244243661,0.7876414273281114
100,true,0.5786758383490971,0.9215322763184841,0.9215322763184841,0.5472242249459265,0.33881118881118877
100,false,0.9677607302388813,0.9601442018826357,0.9601442018826357,0.9467058646163123,0.795131845841785
