n,euclidien,plans coupants,B&C,B&C with heuristic,dual,dual with warm start
5,true,2.7545359134674072,0.5172250270843506,0.0033648014068603516,0.006721973419189453,0.020328998565673828
5,false,0.0323481559753418,0.0019769668579101562,0.0022971630096435547,0.008589982986450195,0.027445077896118164
6,true,0.09757685661315918,0.014282941818237305,0.013465166091918945,0.008564949035644531,0.02955007553100586
6,false,0.0557551383972168,0.004331111907958984,0.0044019222259521484,0.01396799087524414,0.012063980102539062
7,true,0.4105241298675537,0.030852079391479492,0.030575990676879883,0.04849505424499512,0.04125690460205078
7,false,0.03525090217590332,0.003055095672607422,0.003408193588256836,0.006845951080322266,0.008749008178710938
8,true,0.247697114944458,0.026364803314208984,0.04255414009094238,0.0682530403137207,0.0484158992767334
8,false,0.08286619186401367,0.015582084655761719,0.015504837036132812,0.021741151809692383,0.022803068161010742
9,true,2.686944007873535,0.08296799659729004,0.10070991516113281,0.03652000427246094,0.022435903549194336
9,false,0.14537501335144043,0.07910013198852539,0.06644988059997559,0.06701111793518066,0.06461811065673828
10,true,2.4462451934814453,0.2458038330078125,0.23772478103637695,0.11854910850524902,0.10727095603942871
10,false,0.6885712146759033,0.08309102058410645,0.08270812034606934,0.05195784568786621,0.0749349594116211
11,true,223.7063639163971,3.09247088432312,3.069998025894165,0.41608309745788574,0.4445040225982666
11,false,0.8137168884277344,0.48986005783081055,0.486069917678833,0.12879109382629395,0.11484003067016602
12,true,300.00846791267395,69.29598999023438,68.98696804046631,17.088892936706543,17.005017042160034
12,false,0.7914459705352783,0.31682801246643066,0.3015410900115967,0.13881492614746094,0.12649297714233398
13,true,300.00651717185974,8.224162101745605,8.425799131393433,1.734178066253662,1.6619420051574707
13,false,1.5489511489868164,1.9141030311584473,1.8902759552001953,0.2621328830718994,0.20527410507202148
14,true,300.0044090747833,300.0010268688202,300.0024209022522,300.0094940662384,300.01070284843445
14,false,156.3345148563385,34.20438599586487,34.16005778312683,4.483799934387207,4.363470077514648
15,true,300.0080268383026,203.8020339012146,203.36559009552002,24.299508094787598,25.598552942276
15,false,0.6706230640411377,0.23600101470947266,0.21972417831420898,0.07709598541259766,0.0810861587524414
16,true,300.00692915916443,163.43565487861633,163.46999597549438,14.652427196502686,12.700821876525879
16,false,300.01301193237305,300.00525403022766,300.00138902664185,42.26464104652405,48.46400785446167
17,true,300.06762290000916,300.00479006767273,300.00859212875366,300.03164982795715,300.0192918777466
17,false,299.78495693206787,256.21331310272217,256.78120589256287,0.14742708206176758,0.16116690635681152
18,true,300.0346109867096,300.18545794487,300.0036759376526,300.01268696784973,300.03201699256897
18,false,300.0087831020355,300.00183296203613,300.00266695022583,300.0095109939575,300.0203790664673
19,true,300.0445349216461,300.0021951198578,300.0013918876648,300.01530385017395,300.0193130970001
19,false,300.0224688053131,300.00580883026123,300.0056209564209,300.0100750923157,300.74208307266235
20,true,300.11737394332886,300.0122389793396,300.0022599697113,301.0611550807953,301.09359097480774
20,false,300.0232629776001,300.1218078136444,300.01137590408325,55.09030103683472,83.12007904052734
25,true,300.0481810569763,300.00621700286865,300.0028398036957,300.03786420822144,302.25567603111267
25,false,300.90282011032104,300.0117208957672,300.0031809806824,301.17733001708984,300.4117178916931
30,true,301.64688086509705,300.0214960575104,300.01114106178284,301.09338998794556,301.17084097862244
30,false,309.53790307044983,300.0094449520111,300.01922488212585,302.15480399131775,300.05779004096985
35,true,301.1094009876251,300.01281213760376,300.0449061393738,300.01743602752686,300.0281717777252
35,false,301.554979801178,300.01804304122925,300.0071020126343,301.8340849876404,300.2760829925537
40,true,301.727166891098,300.0086488723755,300.0112750530243,300.04832911491394,300.02165508270264
40,false,300.4079349040985,300.00358414649963,300.00542402267456,300.01999711990356,300.0736930370331
45,true,300.05120611190796,300.38849902153015,300.01076793670654,300.4262101650238,300.0297269821167
45,false,300.2831070423126,300.0049579143524,300.0053029060364,300.0453450679779,300.02414107322693
50,true,300.284108877182,300.01149582862854,300.005656003952,300.0495150089264,300.0382571220398
50,false,300.503604888916,300.0108530521393,300.00605607032776,300.38443899154663,300.0334379673004
55,true,300.0698039531708,300.60200595855713,300.05312991142273,300.7797532081604,300.9034900665283
55,false,300.46365094184875,300.0192229747772,300.01659893989563,300.6003510951996,300.03697991371155
60,true,300.08127903938293,300.0103449821472,300.01547479629517,300.05581188201904,300.72994112968445
60,false,301.18157982826233,300.0105450153351,300.0170969963074,301.5837450027466,301.63039803504944
65,true,300.181636095047,300.02314591407776,300.01286792755127,301.40965008735657,301.53098607063293
65,false,300.82454013824463,300.0086829662323,300.0089418888092,301.0373730659485,300.85188007354736
70,true,301.1886029243469,300.01571702957153,300.05250000953674,300.07001519203186,302.1446068286896
