n,euclidien,plans coupants,B&C,B&C with heuristic,dual,dual with warm start
5,true,2.5285158157348633,0.51249098777771,0.004180908203125,0.009974956512451172,0.02176213264465332
5,false,0.04541897773742676,0.0021882057189941406,0.0020499229431152344,0.01207590103149414,0.004434823989868164
6,true,0.092987060546875,0.014127016067504883,0.013743877410888672,0.017721176147460938,0.008386850357055664
6,false,0.04492998123168945,0.004273176193237305,0.005059957504272461,0.01240086555480957,0.012466907501220703
7,true,0.4247560501098633,0.031510114669799805,0.05024003982543945,0.055274009704589844,0.036811113357543945
7,false,0.0341799259185791,0.0029938220977783203,0.003213167190551758,0.0063610076904296875,0.006145954132080078
8,true,0.3054659366607666,0.02618098258972168,0.028252124786376953,0.07999610900878906,0.035141944885253906
8,false,0.09020805358886719,0.015347957611083984,0.01497793197631836,0.025181055068969727,0.02258586883544922
9,true,1.506814956665039,0.07832098007202148,0.07741808891296387,0.026625871658325195,0.030397891998291016
9,false,0.1492919921875,0.06501889228820801,0.06483912467956543,0.0679018497467041,0.06487202644348145
10,true,1.6040310859680176,0.23821687698364258,0.2365720272064209,0.12397313117980957,0.11287999153137207
10,false,0.47374701499938965,0.0826559066772461,0.08214402198791504,0.05480003356933594,0.03875398635864258
11,true,2.0022618770599365,2.0005569458007812,2.0008091926574707,0.5980730056762695,0.8755528926849365
11,false,1.1233608722686768,0.5028910636901855,0.5076010227203369,0.1399989128112793,0.16207313537597656
12,true,2.0465939044952393,2.000581979751587,2.000704765319824,2.008924961090088,2.0027410984039307
12,false,0.8089790344238281,0.44077301025390625,0.2999000549316406,0.1338489055633545,0.11001706123352051
13,true,2.004599094390869,2.0006189346313477,2.0008649826049805,1.6391000747680664,1.6120781898498535
13,false,1.5844318866729736,1.9543681144714355,1.933696985244751,0.2816579341888428,0.23384809494018555
14,true,2.007524013519287,2.000558853149414,2.00077486038208,2.0025441646575928,2.0035181045532227
14,false,2.0023558139801025,2.000666856765747,2.0004889965057373,2.002202033996582,2.0025181770324707
15,true,2.0053789615631104,2.0006089210510254,2.0005311965942383,2.013731002807617,2.0032341480255127
15,false,0.646622896194458,0.2190558910369873,0.30794191360473633,0.06883597373962402,0.062040090560913086
16,true,2.00740385055542,2.00075101852417,2.000791072845459,2.002845048904419,2.0230820178985596
16,false,2.0070419311523438,2.000756025314331,2.0006320476531982,2.0030980110168457,2.00423002243042
17,true,2.009071111679077,2.001037120819092,2.000702142715454,2.003493070602417,2.003700017929077
17,false,1.5306141376495361,2.0012059211730957,2.000771999359131,0.12863802909851074,0.14545583724975586
18,true,2.0118231773376465,2.0009939670562744,2.001387119293213,2.003274917602539,2.0041871070861816
18,false,2.0064480304718018,2.001114845275879,2.003077983856201,2.004014015197754,2.006582021713257
19,true,2.079246997833252,2.000854015350342,2.0008201599121094,2.0042941570281982,2.003567934036255
19,false,2.0095670223236084,2.000852108001709,2.000807046890259,2.006402015686035,2.0053789615631104
20,true,2.005342960357666,2.0008389949798584,2.000804901123047,2.0086569786071777,2.0099098682403564
20,false,1.9736320972442627,2.000844955444336,2.001154899597168,2.029242992401123,2.0117640495300293
25,true,2.0146830081939697,2.00150203704834,2.0014898777008057,2.0053250789642334,2.0057759284973145
25,false,2.010802984237671,2.0016260147094727,2.0014350414276123,2.0073330402374268,2.015371799468994
30,true,2.014310836791992,2.0022261142730713,2.0030829906463623,2.0219759941101074,2.0130488872528076
30,false,2.0508649349212646,2.001777172088623,2.0017759799957275,2.0092129707336426,2.008600950241089
35,true,2.0676989555358887,2.0036849975585938,2.0021140575408936,2.0113770961761475,2.0090560913085938
35,false,2.015277862548828,2.002578020095825,2.003962993621826,2.0113818645477295,2.0094919204711914
40,true,2.079469919204712,2.0046141147613525,2.0028419494628906,2.016211986541748,2.0172109603881836
40,false,2.0500409603118896,2.0103368759155273,2.061760902404785,2.01700496673584,2.0255019664764404
45,true,2.075244188308716,2.0097200870513916,2.004573106765747,2.0206120014190674,2.0280020236968994
45,false,2.0608088970184326,2.0086119174957275,2.0039420127868652,2.020232915878296,2.019437074661255
50,true,2.0731148719787598,2.0087621212005615,2.0045149326324463,2.0266828536987305,2.0262858867645264
50,false,2.088181972503662,2.010201930999756,2.0055198669433594,2.02034592628479,2.025157928466797
55,true,2.2222068309783936,2.0114948749542236,2.0063588619232178,2.032801866531372,2.0310440063476562
55,false,2.070441961288452,2.010392904281616,2.005542039871216,2.0300650596618652,2.039029121398926
60,true,2.2025928497314453,2.0146660804748535,2.0064079761505127,2.0386669635772705,2.04809308052063
60,false,2.0993289947509766,2.0134150981903076,2.009212017059326,2.0570950508117676,2.039268970489502
65,true,2.1770081520080566,2.0462088584899902,2.0163588523864746,2.0396840572357178,2.054781913757324
65,false,2.141533851623535,2.066287040710449,2.007554054260254,2.039350986480713,2.0463640689849854
70,true,2.249408006668091,2.015364170074463,2.0103108882904053,2.058401107788086,2.0632710456848145
70,false,2.174315929412842,2.016864061355591,2.008780002593994,2.053611993789673,2.062268018722534
75,true,2.5303800106048584,2.0221331119537354,2.0235719680786133,2.063750982284546,2.088701009750366
75,false,2.2198898792266846,2.0375630855560303,2.0095598697662354,57.37113308906555,77.60212397575378
80,true,2.1870219707489014,2.0123469829559326,2.010542154312134,2.043134927749634,29.309705018997192
80,false,2.163543939590454,2.0119450092315674,2.0103540420532227,2.0394229888916016,18.259387969970703
85,true,2.2898669242858887,2.0165228843688965,2.0161120891571045,192.53662991523743,5.364576101303101
85,false,2.191838026046753,2.01326584815979,2.0129849910736084,32.00763392448425,237.78337287902832
90,true,2.353308916091919,2.013763904571533,2.013230085372925,34.8144109249115,9.775665044784546
90,false,2.0967299938201904,2.013197898864746,2.02042293548584,14.13459300994873,2.171359062194824
95,true,2.1867120265960693,2.0156099796295166,2.0333638191223145,2.062242031097412,2.0736618041992188
95,false,2.1174211502075195,2.016319990158081,2.0159289836883545,4.000001907348633,12.359223127365112
100,true,2.1844229698181152,2.016427993774414,2.0769360065460205,2.055155038833618,2.067379951477051
100,false,2.154110908508301,2.0323808193206787,2.016091823577881,10.952591896057129,36.08516192436218
