n,CW,LK,2opt,3opt,hybrid_rc,hybrid_mc
6,0.00130925,0.000351375,9.542e-6,2.875e-6,0.000225083,0.000816125
7,9.791e-6,3.3584e-5,3.75e-6,6.166e-6,0.000104417,0.000118
8,1.9666e-5,1.0042e-5,1.0041e-5,8.542e-6,8.7292e-5,0.000220958
9,2.0291e-5,8.084e-6,4.125e-6,1.5334e-5,0.000411625,0.000300291
10,1.8042e-5,1.7583e-5,9.75e-6,1.8667e-5,0.000318041,0.00161075
11,1.2375e-5,1.2125e-5,5.2167e-5,9.2625e-5,0.000617542,0.000961791
12,1.9167e-5,2.85e-5,1.425e-5,2.3667e-5,0.002996084,0.002462916
13,1.7375e-5,0.000248625,1.0083e-5,4.5917e-5,0.005519,0.008153042
14,2.1292e-5,2.1959e-5,1.4083e-5,2.1083e-5,0.002667625,0.003327167
15,5.0709e-5,0.001644709,1.8541e-5,9.0667e-5,0.0058835,0.011000291
16,2.2334e-5,4.2791e-5,1.3792e-5,3.5333e-5,0.002140667,0.131765042
17,1.8625e-5,8.95e-5,1.8375e-5,3.7375e-5,0.002072833,0.002953583
18,2.9167e-5,3.3e-5,1.5833e-5,2.3167e-5,0.002115375,0.001594208
19,2.2834e-5,0.000100834,2.0958e-5,3.8708e-5,0.021537916,0.004851667
20,3.6333e-5,0.00122825,2.875e-5,7.0958e-5,0.018839583,0.031859042
25,3.8958e-5,0.00020275,3.5833e-5,8.6334e-5,0.028892958,0.040082833
30,5.3875e-5,0.012738792,6.0708e-5,0.000159875,0.088888291,0.063159208
35,7.3667e-5,0.05595225,8.6291e-5,0.000351875,0.574917375,0.599230917
40,9.6958e-5,0.000458333,8.8375e-5,0.000125625,0.035157292,0.080992625
45,0.005979625,0.061474167,0.000137291,0.000391125,0.713901209,0.750909375
50,0.000153917,1.025677084,0.000200583,0.001134125,6.666222458,7.239473542
55,0.000488583,0.625909625,0.000219208,0.001302834,11.099879042,8.273892166
60,0.000256709,0.155285417,0.000245917,0.000738292,2.311517167,2.038288541
65,0.000320792,0.265945833,0.000272375,0.000990333,4.3039225,8.428477417
70,0.000359542,0.003298042,0.000369,0.000509208,0.234669959,0.436874125
75,0.000302666,9.306387,0.000552458,0.00321475,54.866341,37.443187542
80,0.000424417,13.905988792,0.0005015,0.004625083,104.189965458,49.667125167
85,0.000812042,0.001594875,0.000645208,0.000859708,0.712607958,1.217451625
90,0.000869834,2.18762425,0.000659791,0.001557459,8.990326125,9.863630541
95,0.000926666,2.027566,0.000677792,0.002817,39.891493416,53.5948525
100,0.001343833,0.860497125,0.00070675,0.001323292,14.929363834,10.517123041
