n,CW,LK,2opt,3opt,hybrid_rc,hybrid_mc
6,7.4917e-5,1.7916e-5,9.125e-6,1.5e-5,2.125e-5,8.333e-6
7,4.4375e-5,1.8209e-5,4.084e-6,1.3e-5,3.7917e-5,1.2792e-5
8,1.4375e-5,7.5e-6,4.334e-6,6.709e-6,2.9666e-5,5.375e-6
9,2.7458e-5,1.2e-5,6.458e-6,9.75e-6,7.0e-5,9.417e-6
10,1.6667e-5,1.2333e-5,6.292e-6,1.0916e-5,0.000125125,3.1292e-5
11,1.6667e-5,1.1459e-5,7.5e-6,9.708e-6,8.0583e-5,1.5e-5
12,1.8291e-5,2.0458e-5,9.917e-6,1.8375e-5,0.000818,0.000129666
13,2.1375e-5,2.7166e-5,1.1459e-5,2.0333e-5,0.000382125,7.55e-5
14,2.5125e-5,2.8208e-5,1.7583e-5,2.9791e-5,0.001352625,0.000248959
15,3.275e-5,4.8959e-5,2.5458e-5,3.4208e-5,0.001789292,0.018465667
16,3.1333e-5,2.3167e-5,1.6875e-5,1.8792e-5,0.000360666,3.6e-5
17,3.1916e-5,3.7667e-5,1.8958e-5,3.525e-5,0.001495375,0.000679791
18,4.7916e-5,3.3e-5,2.2917e-5,2.6125e-5,0.000376792,7.7417e-5
19,3.6875e-5,0.001150042,3.1083e-5,6.8584e-5,0.004763416,0.000472833
20,5.0041e-5,4.9417e-5,3.1833e-5,4.3042e-5,0.001244458,0.000385209
25,0.000103917,0.000440208,5.5e-5,9.4666e-5,0.035767583,0.018684959
30,9.5166e-5,9.7917e-5,8.4458e-5,9.7375e-5,0.003883375,0.001561875
35,0.000119125,0.00015925,0.00010425,0.000130375,0.031643375,0.00339
40,0.000152916,0.076712334,0.00015425,0.000507291,0.8580075,0.676130542
45,0.000231125,0.00149625,0.000199042,0.000284,0.104841083,0.069139042
50,0.000227916,0.028624709,0.000213541,0.000498,0.195535958,0.445806167
55,0.000258625,0.095245917,0.000256041,0.000593792,0.507633959,0.510987792
60,0.000339792,0.000755042,0.000334667,0.000428916,0.164433,0.038411084
65,0.000440334,0.001438375,0.000415167,0.000504542,0.093458583,0.032256958
70,0.000400541,15.16603125,0.002189708,0.003457375,12.795447042,31.19891925
75,0.001213625,0.062154291,0.000793542,0.001244,1.395865333,1.339852667
80,0.000607333,0.281212458,0.000619584,0.001370333,3.385405958,2.544351
85,0.001112833,70.184714375,0.001537458,0.008162334,80.089481709,99.747479666
90,0.001288125,0.002169959,0.001172167,0.00128425,0.188935625,0.257241458
95,0.001534625,0.001831042,0.001333708,0.001466542,0.13186375,0.165395917
100,0.000912708,13.947743708,0.001167917,0.006848125,57.339255458,57.524607583
