n,CW,LK,2opt,3opt,hybrid_rc,hybrid_mc,borne_inf
6,3307,3307,3307,3307,3307,3307,1884.632258064516
7,2343,2141,2346,2141,2141,2141,1836.25
8,4558,4558,4558,4558,3666,4558,2064.461764705882
9,3282,3798,3798,3098,3787,3098,1733.755952380952
10,3115,3115,3115,3115,3115,3115,1295.9452961672473
11,5765,5765,5765,4845,4961,4845,2177.5839285714283
12,5077,5067,5077,5067,4893,5067,2113.030753968254
13,6945,5561,5907,5093,3829,5093,1817.611111111111
14,6294,6294,6294,6253,5447,5854,2601.2574942604138
15,6432,5159,4549,4734,4624,3604,1518.6449021326325
16,1151,1048,1057,1165,974,1165,514.2349813432836
17,1009,1040,1040,927,812,799,504.55881834406387
18,1644,1644,1594,1664,1558,1507,365.363969917958
19,1730,1457,1604,1530,1432,1308,496.30463228631834
20,1271,967,1188,888,777,844,320.74428571428575
25,2662,2544,2547,2398,2295,2146,644.0631667083751
30,2860,2384,2683,2335,2187,1992,545.2138951849305
35,3136,2681,2934,2686,2158,1965,564.8336596336596
40,4306,4085,4154,3991,3426,3392,629.3059466666666
45,2485,2319,2230,2046,1670,1527,527.9967224868927
50,1912,1733,1722,1572,1048,1093,398.00954460386777
55,4113,3608,3540,3444,2620,2460,763.1536862361044
60,3435,2802,2968,2683,2167,1913,549.198071647988
65,4680,3862,3914,3529,2459,2298,766.3739538315501
70,4680,4217,4368,3920,3401,3250,586.9473982388944
75,5152,3966,3959,3381,2608,2544,784.7308369659235
80,2293,1698,1798,1363,1027,815,335.6138473865297
85,4469,3892,4344,3966,3137,2877,439.8274270254221
90,6028,4845,5093,4588,3592,3400,728.303723598113
95,7119,5690,6179,5229,3746,3427,731.2681631917154
100,5658,4575,4656,4457,3964,3451,706.2501083768902
