n,CW,LK,2opt,3opt,hybrid_rc,hybrid_mc,borne_inf
6,3087,3087,3087,3087,3087,3087,1626.65
7,3127,3127,3127,3127,2480,3127,1300.2
8,3820,3820,3820,3820,3820,3820,2689.5
9,4216,4216,4216,4216,4216,4216,3233.0
10,5375,5375,5375,5375,5375,5375,3068.25
11,7301,7301,7301,7301,6868,7301,2618.7006172839506
12,6433,6433,6406,6406,6364,6406,2899.631111111111
13,5971,5971,5971,5971,5971,5971,3261.9703125
14,7917,7917,7917,7917,6885,7917,4025.903420348723
15,6377,6292,6292,6292,6140,6140,3720.9502164502164
16,9347,9347,9347,9347,9346,9347,4624.068376068374
17,6682,6682,6682,6682,6682,6682,2897.864197530864
18,10360,10360,10360,10360,10360,10360,4071.418333333333
19,7371,7371,7371,7371,7365,7371,3474.3499999999995
20,9618,9618,9618,9618,9036,9618,4516.83982989882
25,9600,9592,9592,9592,9475,9518,4480.976388888889
30,15185,15185,15157,15157,14896,15157,5570.021418257034
35,15306,15306,15319,15319,15168,15319,4230.328787878788
40,11456,11442,11442,11442,10856,10724,5360.861825889775
45,15191,15173,15173,15102,15015,15092,5341.692007797273
50,10440,10237,10237,10237,10237,10179,5037.617553191488
55,12127,12106,12106,12106,11976,11988,5807.27329059829
60,16119,16040,16040,16040,15955,16040,5546.419512586181
65,18296,18277,18277,18277,18227,18277,6132.483798701302
70,12733,12291,12291,12226,11798,11668,7118.427525252526
75,15619,15585,15585,15585,15291,15339,6657.9625
80,16282,16136,16136,16043,15725,15957,7846.065379886894
85,14311,14007,13993,13901,13722,13176,8692.247716059052
90,36106,36043,35992,35981,35405,35907,8253.042333333337
95,29089,29003,29003,29003,28950,28951,7107.704200000021
100,12704,12389,12414,12370,11820,11430,6625.7604056437385
