n,CW,LK,2opt,3opt,hybrid_rc,hybrid_mc
6,0.000712,0.000213875,2.6917e-5,2.3792e-5,3.1458e-5,5.4458e-5
7,1.425e-5,1.9459e-5,4.0e-6,1.075e-5,4.9209e-5,5.7541e-5
8,1.6417e-5,5.166e-6,3.667e-6,5.75e-6,4.4084e-5,5.6833e-5
9,1.8833e-5,9.125e-6,4.0e-6,8.5e-6,0.000104292,0.000127666
10,8.084e-6,9.583e-6,5.0e-6,8.166e-6,0.000218417,0.000251625
11,8.334e-6,9.75e-6,5.125e-6,9.791e-6,0.000183667,0.000210834
12,1.0417e-5,3.0583e-5,8.458e-6,1.5875e-5,0.001317833,0.001455875
13,1.2209e-5,1.2416e-5,8.167e-6,1.3583e-5,0.000801208,0.000926
14,1.2292e-5,3.4667e-5,9.375e-6,1.6208e-5,0.000972042,0.001089208
15,2.275e-5,2.075e-5,1.2125e-5,2.1708e-5,0.003109959,0.106967958
16,1.8167e-5,1.4625e-5,1.225e-5,1.35e-5,0.000630334,0.000799583
17,1.8375e-5,0.000475125,1.5292e-5,4.1875e-5,1.393302542,0.009934916
18,4.675e-5,2.4708e-5,1.5417e-5,2.0416e-5,0.000868042,0.001204125
19,2.5583e-5,0.000435375,2.0292e-5,4.8583e-5,0.004573917,0.004530583
20,2.8125e-5,3.7541e-5,2.35e-5,3.875e-5,0.00260775,0.003072834
25,3.6708e-5,0.000138292,3.3125e-5,6.1833e-5,0.033450875,0.034103416
30,5.275e-5,0.00013275,4.6e-5,6.9791e-5,0.014168917,0.020541417
35,7.1083e-5,0.000102,6.1916e-5,8.6209e-5,0.055174875,0.034014083
40,9.0167e-5,0.139037,9.7e-5,0.000419791,0.548984042,0.548827
45,0.000117875,0.001016792,0.000119208,0.000202542,0.129249333,0.245880958
50,0.000142959,0.235513459,0.000159041,0.000570583,1.402620959,1.494231625
55,0.000168125,0.088811834,0.000212166,0.000529709,1.871879625,1.446906791
60,0.000207625,0.002484625,0.000213459,0.000308208,0.250710584,0.371524708
65,0.0002735,0.002041125,0.000264375,0.000339542,0.195798958,0.180877917
70,0.00029625,23.433713542,0.000335916,0.003120625,18.602337042,17.932216417
75,0.000425,0.176458916,0.000356167,0.000809958,4.113398167,2.382009375
80,0.000398334,0.448233834,0.000403292,0.001146125,5.850279708,9.68169625
85,0.000793125,134.6853065,0.000611584,0.006238625,89.167727541,69.744403084
90,0.001042042,0.006728291,0.002561333,0.000942584,0.329638041,0.59713775
95,0.000800125,0.001559625,0.000662959,0.000798083,0.609808958,2.267775667
100,0.000953708,23.581487458,0.000838792,0.004341292,57.080229916,77.051403959
