n,CW,LK,2opt,3opt,hybrid_rc,hybrid_mc
6,7.8375e-5,2.4875e-5,8.5e-6,5.291e-6,1.5666e-5,3.5042e-5
7,1.1917e-5,3.6708e-5,7.291e-6,1.8667e-5,0.00013625,0.000105042
8,2.2375e-5,1.2791e-5,6.459e-6,1.4333e-5,0.00014025,5.8417e-5
9,2.0875e-5,1.1917e-5,4.625e-6,2.4208e-5,0.000458042,0.000211083
10,8.667e-6,1.3958e-5,8.625e-6,1.7791e-5,0.000342083,0.001286834
11,1.7417e-5,2.0e-5,1.0125e-5,1.5542e-5,0.001047208,0.000800042
12,1.5209e-5,2.9166e-5,1.6e-5,3.2375e-5,0.000598667,0.00126775
13,3.2792e-5,0.000184125,3.6458e-5,0.000105208,0.006002834,0.006050542
14,2.7792e-5,3.2e-5,1.8125e-5,2.6e-5,0.0020305,0.002238541
15,4.0209e-5,0.000117667,2.8333e-5,6.7917e-5,0.008557792,0.012278458
16,2.4625e-5,7.5458e-5,2.7375e-5,4.6959e-5,0.007396625,0.00526925
17,3.0209e-5,3.7708e-5,1.8875e-5,3.8125e-5,0.002706916,0.002716625
18,3.3e-5,3.1291e-5,1.7584e-5,2.9875e-5,0.002021958,0.003116875
19,3.6083e-5,0.000470459,3.2166e-5,0.000120958,0.019019166,0.011013834
20,2.7e-5,0.000252916,2.3959e-5,6.75e-5,0.028245667,0.02079125
25,3.7166e-5,9.8208e-5,3.2375e-5,6.1584e-5,0.021791333,0.021181708
30,5.4209e-5,0.000350333,5.1541e-5,0.000103042,0.041307166,0.083256667
35,6.7208e-5,0.006608542,8.3875e-5,0.00026475,0.412339,0.461717917
40,0.000100292,0.000428875,9.3209e-5,0.000143667,0.054355292,0.078312583
45,0.000107708,0.023788167,0.000126833,0.000383,0.939523791,0.649279667
50,0.0001315,0.141542417,0.0001735,0.000763417,5.318868209,1.893490458
55,0.000221083,1.073362709,0.000215833,0.001529333,5.844482125,8.9649095
60,0.000188,0.055403041,0.000217917,0.00066625,1.652268167,2.844325583
65,0.000230167,0.259210458,0.000279709,0.001173458,8.717488333,5.340559667
70,0.000368667,0.000534208,0.000302792,0.000373458,0.269268333,0.294073542
75,0.000313458,8.228491708,0.000527083,0.004134584,47.17356475,45.143542583
80,0.000419,13.631828708,0.000457834,0.005106958,64.220139458,77.9119165
85,0.000877875,0.009530667,0.0008425,0.001307083,1.108514791,0.779435709
90,0.001883667,1.49640825,0.000629,0.001485042,11.161125375,15.511793333
95,0.002328625,1.887204792,0.000643,0.002755375,28.543228208,26.932985875
100,0.000873375,0.285506667,0.000956166,0.001543875,7.077528709,4.862850875
